,Operación,Precio,Cantidad,Budget,Crypto,Ganancia/Pérdida Acumulada,Rendimiento
262,Compra,232.4499969482422,4.657264686925671,0.0,4.657264686925671,82.5811622630282,0.08258116226302821
263,Venta,232.1300048828125,4.657264686925671,1081.0908745166062,0.0,81.09087451660605,0.08109087451660604
264,Compra,230.83599853515625,4.683372096973672,0.0,4.683372096973672,81.09087451660605,0.08109087451660604
265,Venta,230.13999938964844,4.683372096973672,1077.8312515390173,0.0,77.83125153901722,0.07783125153901721
266,Compra,229.80999755859375,4.690097310776077,0.0,4.690097310776077,77.83125153901722,0.07783125153901721
267,Venta,229.19500732421875,4.690097310776077,1074.9468874946215,0.0,74.94688749462136,0.07494688749462136
268,Compra,228.2449951171875,4.709618657542581,0.0,4.709618657542581,74.94688749462136,0.07494688749462136
269,Venta,228.02999877929688,4.709618657542581,1073.9343367303886,0.0,73.93433673038851,0.0739343367303885
270,Compra,221.32000732421875,4.85240512014419,0.0,4.85240512014419,73.93433673038851,0.0739343367303885
271,Venta,221.6199951171875,4.85240512014419,1075.389999032971,0.0,75.38999903297088,0.07538999903297088
272,Compra,221.97000122070312,4.844753764558115,0.0,4.844753764558115,75.38999903297088,0.07538999903297088
273,Venta,222.86000061035156,4.844753764558115,1079.7018269264247,0.0,79.70182692642459,0.0797018269264246
274,Compra,222.07000732421875,4.8619885230610045,0.0,4.8619885230610045,79.70182692642459,0.0797018269264246
275,Venta,221.89999389648438,4.8619885230610045,1078.875223592014,0.0,78.87522359201387,0.07887522359201386
276,Compra,221.92999267578125,4.861331317070554,0.0,4.861331317070554,78.87522359201387,0.07887522359201386
277,Venta,222.6199951171875,4.861331317070554,1082.2295540692774,0.0,82.22955406927724,0.08222955406927725
278,Compra,223.14010620117188,4.850000174749374,0.0,4.850000174749374,82.22955406927724,0.08222955406927725
279,Venta,222.94000244140625,4.850000174749374,1081.2590507994462,0.0,81.25905079944607,0.08125905079944608
280,Compra,222.8699951171875,4.85152364377676,0.0,4.85152364377676,81.25905079944607,0.08125905079944608
281,Venta,222.3699951171875,4.85152364377676,1078.833288977558,0.0,78.8332889775578,0.0788332889775578
282,Compra,223.5449981689453,4.826022938622066,0.0,4.826022938622066,78.8332889775578,0.0788332889775578
283,Venta,223.3101043701172,4.826022938622066,1077.6996861162734,0.0,77.69968611627326,0.07769968611627326
284,Compra,223.58380126953125,4.8201152319487655,0.0,4.8201152319487655,77.69968611627326,0.07769968611627326
285,Venta,223.0,4.8201152319487655,1074.8856967245747,0.0,74.88569672457459,0.07488569672457458
286,Compra,222.53399658203125,4.830208926429569,0.0,4.830208926429569,74.88569672457459,0.07488569672457458
287,Venta,222.4600067138672,4.830208926429569,1074.5283102029032,0.0,74.52831020290307,0.07452831020290307
288,Compra,220.6300048828125,4.870272793465414,0.0,4.870272793465414,74.52831020290307,0.07452831020290307
289,Venta,220.80999755859375,4.870272793465414,1075.4049236347837,0.0,75.40492363478359,0.07540492363478359
290,Compra,221.21009826660156,4.86146397502482,0.0,4.86146397502482,75.40492363478359,0.07540492363478359
291,Venta,221.4073028564453,4.86146397502482,1076.3636266440187,0.0,76.36362664401861,0.0763636266440186
292,Compra,221.5,4.859429465661484,0.0,4.859429465661484,76.36362664401861,0.0763636266440186
293,Venta,220.69000244140625,4.859429465661484,1072.4275006406745,0.0,72.42750064067434,0.07242750064067434
294,Compra,229.4949951171875,4.672988620484114,0.0,4.672988620484114,72.42750064067434,0.07242750064067434
295,Venta,228.49000549316406,4.672988620484114,1067.7311955639084,0.0,67.73119556390827,0.06773119556390828
296,Compra,228.9949951171875,4.662683544753894,0.0,4.662683544753894,67.73119556390827,0.06773119556390828
297,Venta,229.17010498046875,4.662683544753894,1068.547677441954,0.0,68.54767744195385,0.06854767744195385
